report_id,community_name,region_id,report_date,reporter_type,local_season,rainfall_level,road_access,seasonal_indicators_text,num_dogs_seen,num_puppies_seen,skin_issue_count,parasite_issue_count,recent_dog_deaths,distance_to_clinic,dog_roaming_level,requested_help,notes,months_since_last_visit,needs_parasite_treatment_3m,needs_scabies_treatment_3m,needs_followup_visit_3m,needs_parasite_treatment_6m,needs_scabies_treatment_6m,needs_followup_visit_6m,needs_parasite_treatment_9m,needs_scabies_treatment_9m,needs_followup_visit_9m,needs_parasite_treatment_12m,needs_scabies_treatment_12m,needs_followup_visit_12m
225,Ramingining,1,2022-01-03,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",180,33,7,6,2,190,high,1,Synthetic ranger field report,2,1,1,1,1,1,0,0,1,1,0,0,0
1,Maningrida,1,2022-01-04,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",96,19,3,5,1,120,medium,0,Synthetic ranger field report,1,1,0,0,0,1,1,1,0,0,1,1,1
90,Warruwi,1,2022-01-06,waldhep_staff,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",94,7,5,5,1,180,medium,0,Synthetic ranger field report,2,0,0,0,1,0,1,0,1,1,1,0,0
179,Milingimbi,1,2022-01-07,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",102,19,8,7,1,210,medium,1,Synthetic ranger field report,4,1,1,1,1,0,1,0,1,1,0,0,1
361,Outstation B,1,2022-01-09,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",101,11,6,2,0,105,medium,1,Synthetic ranger field report,1,1,1,1,1,1,1,0,1,0,1,0,0
271,Minjilang,1,2022-01-11,veterinarian,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",40,5,4,7,0,230,medium,1,Synthetic ranger field report,4,1,0,0,1,0,0,1,1,0,0,0,0
318,Outstation A,1,2022-01-13,ranger,Kudjewk,medium,moderate,"monsoon_building, flooded_ground, mosquitoes_high",108,18,6,4,1,95,medium,1,Synthetic ranger field report,2,1,1,1,1,1,0,1,1,1,1,0,1
46,Gunbalanya,1,2022-01-15,ranger,Kudjewk,medium,moderate,"monsoon_building, flooded_ground, mosquitoes_high",34,7,8,2,0,70,medium,1,Synthetic ranger field report,1,0,1,1,1,0,1,0,0,0,0,1,0
133,Jabiru,1,2022-01-19,ranger,Kudjewk,medium,easy,"monsoon_building, flooded_ground, mosquitoes_high",29,6,5,6,0,40,medium,0,Synthetic ranger field report,1,1,1,1,0,0,1,0,1,1,0,0,0
407,Croker Camp,1,2022-01-20,ranger,Kudjewk,low,difficult,"monsoon_building, flooded_ground, mosquitoes_high, dog_movement_high",39,7,8,1,2,160,high,1,Synthetic ranger field report,3,1,1,1,1,0,1,0,0,1,0,1,1
2,Maningrida,1,2022-02-04,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",89,11,7,11,1,120,medium,1,Synthetic ranger field report,2,0,1,1,1,0,1,1,1,0,0,0,0
